"scientificName","decimalLatitude","decimalLongitude","genericName"
"Sus scrofa domesticus Erxleben, 1777",30.635546,-95.514221,"Sus"
"Crocuta crocuta (Erxleben, 1777)",-24.142317,31.684584,"Crocuta"
"Sciurus niger Linnaeus, 1758",42.457495,-83.995709,"Sciurus"
"Canis latrans Say, 1823",34.524673,-114.39093,"Canis"
"Metachirus nudicaudatus (É.Geoffroy Saint-Hilaire, 1803)",6.805806,-74.213444,"Metachirus"
"Dasyprocta punctata Gray, 1842",6.803944,-74.212917,"Dasyprocta"
"Procyon lotor (Linnaeus, 1758)",35.608943,-82.4907,"Procyon"
"Dasyprocta punctata Gray, 1842",NA,NA,"Dasyprocta"
"Arctocephalus forsteri (Lesson, 1828)",-45.769215,170.699764,"Arctocephalus"
"Piliocolobus badius (Kerr, 1792)",7.562191,-10.836731,"Piliocolobus"
"Pecari tajacu (Linnaeus, 1758)",6.805806,-74.213444,"Pecari"
"Trichosurus cunninghami Lindenmayer, Dubach & Viggers, 2002",-36.623296,149.382563,"Trichosurus"
"Antechinus stuartii MacLeay, 1841",-30.554205,152.195281,"Antechinus"
"Petaurus australis Shaw & Nodder, 1791",-37.356592,149.715194,"Petaurus"
"Nyctimene robinsoni Thomas, 1904",-28.627333,153.391365,"Nyctimene"
"Trichosurus caninus (Ogilby, 1835)",-28.389332,153.323273,"Trichosurus"
"Austronomus Troughton, 1941",-32.73689,151.574339,"Austronomus"
"Trichosurus vulpecula (Kerr, 1792)",-32.424908,150.876556,"Trichosurus"
"Chalinolobus morio (Gray, 1841)",-31.394775,151.878049,"Chalinolobus"
"Petauroides volans (Kerr, 1792)",-35.602808,149.522082,"Petauroides"
"Petaurus breviceps breviceps",-35.297682,150.39226,"Petaurus"
"Wallabia bicolor (Desmarest, 1804)",-36.000661,148.43655,"Wallabia"
"Canis lupus Linnaeus, 1758",-32.42205,150.87895,"Canis"
"Trichosurus vulpecula (Kerr, 1792)",-31.344805,152.807666,"Trichosurus"
"Oryctolagus cuniculus (Linnaeus, 1758)",-35.991758,148.459385,"Oryctolagus"
"Phascolarctos cinereus (Goldfuss, 1817)",-30.207279,152.741364,"Phascolarctos"
