"scientificName","decimalLatitude","decimalLongitude","genericName"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",27.001617,94.224298,"Callosciurus"
"Gazella bennettii (Sykes, 1831)",19.092983,74.4508,"Gazella"
"Muntiacus Rafinesque, 1815",20.362382,79.296,"Muntiacus"
"Herpestes smithii Gray, 1837",20.368848,79.298123,"Herpestes"
"Gazella bennettii (Sykes, 1831)",19.093582,74.45093,"Gazella"
"Felis chaus affinis Gray, 1830",21.277399,82.080567,"Felis"
"Canis aureus Linnaeus, 1758",18.341577,74.364777,"Canis"
"Macaca mulatta (Zimmermann, 1780)",28.564565,77.15285,"Macaca"
"Martes gwatkinsii Horsfield, 1851",11.936303,75.841638,"Martes"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",12.950313,77.585541,"Macaca"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",12.971883,77.618254,"Macaca"
"Canis aureus Linnaeus, 1758",13.009732,79.854075,"Canis"
"Funambulus pennantii Wroughton, 1905",28.770143,77.355849,"Funambulus"
"Pteropus giganteus (Brünnich, 1782)",27.001617,94.224298,"Pteropus"
"Hoolock hoolock (Harlan, 1834)",24.350912,92.247819,"Hoolock"
"Bos frontalis Lambert, 1804",26.997768,93.073328,"Bos"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",23.037381,72.552095,"Semnopithecus"
"Macaca mulatta (Zimmermann, 1780)",26.778383,90.956428,"Macaca"
"Axis porcinus (Zimmermann, 1780)",26.539663,92.384295,"Axis"
"Ratufa bicolor (Sparrman, 1778)",24.209789,92.310963,"Ratufa"
"Hoolock hoolock (Harlan, 1834)",27.552651,96.435161,"Hoolock"
"Bubalus arnee (Kerr, 1792)",26.709809,90.955609,"Bubalus"
"Rucervus duvaucelii (G.Cuvier, 1823)",26.733335,93.394265,"Rucervus"
"Elephas maximus Linnaeus, 1758",26.911244,93.043191,"Elephas"
"Cuon alpinus (Pallas, 1811)",20.240808,79.219644,"Cuon"
"Hoolock hoolock (Harlan, 1834)",26.47003,93.033718,"Hoolock"
"Axis porcinus (Zimmermann, 1780)",26.608117,93.361878,"Axis"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",26.364687,73.052541,"Semnopithecus"
"Bos frontalis Lambert, 1804",26.997768,93.073328,"Bos"
"Petaurista Link, 1795",28.218344,95.981597,"Petaurista"
"Panthera tigris (Linnaeus, 1758)",26.982416,93.108031,"Panthera"
"Mustela kathiah Hodgson, 1835",23.693791,93.381726,"Mustela"
"Rhinoceros unicornis Linnaeus, 1758",26.718472,93.23865,"Rhinoceros"
"Boselaphus tragocamelus (Pallas, 1766)",20.388757,79.308161,"Boselaphus"
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",26.423504,93.315077,"Lutrogale"
"Trachypithecus johnii (J.Fischer, 1829)",9.517778,77.133584,"Trachypithecus"
"Axis porcinus (Zimmermann, 1780)",26.460721,93.280905,"Axis"
"Paradoxurus hermaphroditus (Pallas, 1777)",27.004686,93.05573,"Paradoxurus"
"Axis porcinus (Zimmermann, 1780)",26.697228,93.234188,"Axis"
"Herpestes auropunctatus (Hodgson, 1836)",17.709721,73.979149,"Herpestes"
"Pteropus giganteus (Brünnich, 1782)",15.4597,73.811532,"Pteropus"
"Rhinoceros unicornis Linnaeus, 1758",26.493825,92.247453,"Rhinoceros"
"Muntiacus Rafinesque, 1815",26.999469,93.07483,"Muntiacus"
"Herpestes edwardsi (É.Geoffroy Saint-Hilaire, 1818)",14.890517,74.329931,"Herpestes"
"Bubalus arnee (Kerr, 1792)",26.412645,93.343271,"Bubalus"
"Paguma larvata (C.E.H.Smith, 1827)",28.322725,95.961814,"Paguma"
"Antilope cervicapra (Linnaeus, 1758)",19.093633,74.434976,"Antilope"
"Ratufa bicolor (Sparrman, 1778)",26.650037,90.885259,"Ratufa"
"Trachypithecus pileatus (Blyth, 1843)",26.692468,90.810942,"Trachypithecus"
"Antilope cervicapra (Linnaeus, 1758)",19.093633,74.434976,"Antilope"
"Rusa unicolor (Kerr, 1792)",25.808096,76.236692,"Rusa"
"Ratufa bicolor (Sparrman, 1778)",24.228386,92.342415,"Ratufa"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",26.996503,93.085594,"Callosciurus"
"Lutra lutra (Linnaeus, 1758)",26.789236,93.229535,"Lutra"
"Macaca mulatta (Zimmermann, 1780)",26.587514,92.305708,"Macaca"
"Sus scrofa Linnaeus, 1758",26.60589,93.389575,"Sus"
"Antilope cervicapra (Linnaeus, 1758)",13.740052,77.323237,"Antilope"
"Elephas maximus Linnaeus, 1758",26.643614,90.898606,"Elephas"
"Petaurista petaurista (Pallas, 1766)",27.496923,96.391147,"Petaurista"
"Trachypithecus pileatus (Blyth, 1843)",24.291074,92.355093,"Trachypithecus"
"Bubalus arnee (Kerr, 1792)",26.767127,90.978388,"Bubalus"
"Funambulus palmarum (Linnaeus, 1766)",8.180461,77.419399,"Funambulus"
"Pteropus giganteus (Brünnich, 1782)",26.188458,91.742566,"Pteropus"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",26.563232,74.409141,"Semnopithecus"
"Rucervus duvaucelii (G.Cuvier, 1823)",29.787265,78.228712,"Rucervus"
"Axis axis (Erxleben, 1777)",29.788609,78.216283,"Axis"
"Petaurista petaurista (Pallas, 1766)",27.496923,96.391147,"Petaurista"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",15.439675,74.105993,"Macaca"
"Panthera tigris tigris",20.393909,79.224814,"Panthera"
"Macaca mulatta (Zimmermann, 1780)",26.573973,93.186687,"Macaca"
"Macaca mulatta (Zimmermann, 1780)",26.780303,90.959888,"Macaca"
"Macaca assamensis (McClelland, 1840)",27.521356,96.359013,"Macaca"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",26.778383,90.956428,"Callosciurus"
"Tupaia belangeri (Wagner, 1841)",24.352808,92.344603,"Tupaia"
"Bos gaurus C.H.Smith, 1827",20.305882,79.22222,"Bos"
"Canis aureus Linnaeus, 1758",22.282795,82.202719,"Canis"
"Rattus norvegicus (Berkenhout, 1769)",12.98219,77.608349,"Rattus"
"Macaca mulatta (Zimmermann, 1780)",26.633242,93.368825,"Macaca"
"Rousettus leschenaultii (Desmarest, 1820)",22.296389,73.243889,"Rousettus"
"Elephas maximus Linnaeus, 1758",26.627377,90.888889,"Elephas"
"Elephas maximus Linnaeus, 1758",26.656565,91.018795,"Elephas"
"Bubalus arnee (Kerr, 1792)",27.465582,95.369482,"Bubalus"
"Ochotona macrotis (Günther, 1875)",30.079475,80.12225,"Ochotona"
"Bubalus arnee (Kerr, 1792)",26.686442,90.945786,"Bubalus"
"Axis porcinus (Zimmermann, 1780)",26.558291,92.342718,"Axis"
"Hystrix indica Kerr, 1792",9.584491,77.17991,"Hystrix"
"Vulpes bengalensis (Shaw, 1800)",18.346313,74.030183,"Vulpes"
